question,options,meta_info,answer
"A 41-year-old man presents to the emergency department because of brownish discoloration of his urine for the last several days. The review of symptoms includes complaints of increasing abdominal girth, early satiety, and difficulty breathing on exertion. The past medical history includes essential hypertension for 19 years. The medication list includes lisinopril and hydrochlorothiazide. He had a right inguinal hernia repair when he was a teenager. He smokes 20–30 cigarettes daily for the last 21 years, and drinks alcohol socially. His father died of a hemorrhagic stroke at the age of 69 years. The vital signs include: temperature 37.0°C (98.6°F), blood pressure 131/88 mm Hg, and pulse 82/min. The physical examination is positive for a palpable right upper quadrant mass. The abdominal ultrasound shows multiple bilateral kidney cysts and hepatic cysts. Which of the following is the most likely diagnosis?","[""Renal cell carcinoma"", ""Von Hippel-Lindau syndrome"", ""Simple kidney cyst"", ""Autosomal dominant polycystic kidney disease""]",step2&3,D
"A 45-year-old male immigrant with rheumatoid arthritis comes to the physician because of severe pain and swelling in both his knees. He also reports an unintentional weight loss of around 10 kg over 3 months and episodic abdominal pain, varying in intensity and location. He has been having loose stools with no blood, 2–3 times a day for 1 month. He denies fever, night sweats, cough, or shortness of breath. Current medications include methotrexate, naproxen, and folic acid. His weight is 68 kg (150 lbs), temperature is 37.4°C (99.3°F), pulse is 90/min, and blood pressure is 130/80 mm Hg. Examination shows pale conjunctivae, cheilitis, and hyperpigmentation of the skin around his neck. Generalized lymphadenopathy is present. Examination of the knee joints shows bilateral warmth, erythema, swelling, tenderness, and limited range of motion. A grade 2/6 early diastolic murmur is heard over the right second intercostal space and an S3 is heard. Abdominal examination shows no abnormalities. Laboratory studies show:
Hemoglobin 9.1 g/dL
Leukocyte count 3800/mm3
Platelet count 140,000/mm3
Mean corpuscular volume 67 μm3
Erythrocyte sedimentation rate 62 mm/h
Serum
Glucose 100 mg/dL
Creatinine 0.7 mg/dL
TIBC 500 mcg/dL
Ferritin 10 mcg/dL
Rheumatoid factor negative
Anti -CCP negative
An esophagogastroduodenoscopy is ordered. A biopsy specimen of the duodenum is likely to show which of the following?""","[""Poorly differentiated cells"", ""Granuloma with caseating necrosis"", ""Villous atrophy and crypt hyperplasia"", ""PAS-positive macrophages""]",step2&3,D
"An 18-year-old man presents to the emergency department with complaints of sudden severe groin pain and swelling of his left testicle. It started roughly 5 hours ago and has been progressively worsening. History reveals that he has had multiple sexual partners but uses condoms regularly. Vital signs include: blood pressure 120/80 mm Hg, heart rate 84/min, respiratory rate 18/min, and temperature 36.6°C (98.0°F). Physical examination reveals that he has an impaired gait and a tender, horizontal, high-riding left testicle and absent cremasteric reflex. Which of the following is the best next step for this patient?","[""Urinalysis"", ""Antibiotics"", ""Surgery"", ""Ultrasound of the scrotum""]",step2&3,C
"A 4-year-old boy is brought to the emergency department because of fever, nausea, and headache for 1 day. His temperature is 39.7°C (103.5°F). Examination shows involuntary flexion of the knees and hips when the neck is flexed. A lumbar puncture is performed and cerebrospinal fluid (CSF) analysis shows numerous segmented neutrophils and a decreased glucose concentration. Gram stain of the CSF shows gram-negative diplococci. This patient is at increased risk for which of the following complications?","[""Temporal lobe inflammation"", ""Acute pancreatitis"", ""Adrenal insufficiency"", ""Deep neck abscess""]",step1,C
"A scientist performed an experiment to produce hybrid viruses by mixing two different serotypes of influenza virus, H1N1 and H2N2, in a respiratory epithelium cell line. Several days later, the scientist collected the media and analyzed the viral progeny. She found the following serotypes of virus: H1N1, H2N2, H1N2, and H2N1. Which of the following terms best explains the appearance of new serotypes?","[""Recombination"", ""Reassortment"", ""Phenotypic mixing"", ""Transformation""]",step1,B
"A 55-year-old man with a history of hypertension and benign prostate hyperplasia presents for follow-up 4 days into the treatment of a urinary tract infection with trimethoprim-sulfamethoxazole. His symptoms have resolved, and he reports no problems with urination, with the exception of a weak urine stream and hesitancy, which he has had for the past 2 years. At the time of this visit, the patient is afebrile; the blood pressure is 130/88 mm Hg and the heart rate is 80/min. There is no flank tenderness. A urinalysis reveals no leukocytes and is negative for esterase. The urinalysis reveals 2 red blood cells (RBCs)/ high power field (HPF), and there are no casts on urinary sediment analysis. The physician, however, notices the following abnormality:
Prior treatment
BUN 12 mg/dL
Creatinine 1.2 mg/dL
Today’s visit
BUN 13 mg/dL
Creatinine 2.1 mg/dL","[""Reassure the patient, stop trimethoprim-sulfamethoxazole and repeat the measurement in 1\u20132 weeks"", ""Schedule an intravenous pyelography for urinary obstruction"", ""Schedule a cystoscopy for urethral obstruction"", ""Admit the patient for further management of acute interstitial nephritis""]",step2&3,A
"A 44-year-old G5P3 presents with a 2-year history of leaking urine upon exerting herself, coughing, and laughing. Her symptoms are only present in the daytime. She denies urgency, nocturia, or painful urination. She has no menstrual cycle disturbances. Her husband is her only sexual partner. She has a 12 pack-year smoking history, a 3-year history of chronic bronchitis, and a 3-year history of arterial hypertension. She takes fosinopril (10 mg), metoprolol (50 mg), and atorvastatin (10 mg) daily. Her weight is 88 kg (194 lb) and the height is 160 cm (5.2 ft). On examination, the vital signs are as follows: blood pressure 130/80 mm Hg, heart rate 78/min, respiratory rate 14/min, and temperature 36.7℃ (98℉). Lung auscultation revealed bilateral lower lobe rales. No costovertebral angle or suprapubic tenderness are present. Which of the following findings is most likely to be revealed by the gynecologic examination?","[""Rectocele"", ""Ovarian mass"", ""Purulent cervical discharge"", ""Cystocele""]",step2&3,D
"A 13-year-old girl presents after losing consciousness during class 30 minutes ago. According to her friends, she was doing okay since morning, and nobody noticed anything abnormal. The patient’s mother says that her daughter does not have any medical conditions. She also says that the patient has always been healthy but has recently lost weight even though she was eating as usual. Her vital signs are a blood pressure of 100/78 mm Hg, a pulse of 89/min, and a temperature of 37.2°C (99.0°F). Her breathing is rapid but shallow. Fingerstick glucose is 300 mg/dL. Blood is drawn for additional lab tests, and she is started on intravenous insulin and normal saline. Which of the following HLA subtypes is associated with this patient’s most likely diagnosis?","[""A3"", ""B8"", ""DR3"", ""B27""]",step1,C
An 18-year-old female college student is brought to the emergency department by ambulance for a headache and altered mental status. The patient lives with her boyfriend who is with her currently. He states she had not been feeling well for the past day and has vomited several times in the past 12 hours. Lumbar puncture is performed in the emergency room and demonstrates an increased cell count with a neutrophil predominance and gram-negative diplococci on Gram stain. The patient is started on vancomycin and ceftriaxone. Which of the following is the best next step in management?,"[""Add ampicillin, dexamethasone, and rifampin to treatment regimen"", ""Add ampicillin to treatment regimen"", ""Treat boyfriend with ceftriaxone and vancomycin"", ""Treat boyfriend with rifampin""]",step2&3,D
"An 80-year-old woman died due to the respiratory complications of lung cancer. She had been a heavy smoker, and battled COPD and adenocarcinoma of the lungs for the last 20 years. The autopsy also revealed a pathological finding in the mitral valve. Which of the following was most likely seen?","[""Destructive vegetations"", ""Non-destructive vegetations"", ""Ruptured papillary muscle"", ""Discoloration of leaflets""]",step1,B
"An 8-year-old boy is brought to the emergency department 3 hours after having a 2-minute episode of violent, jerky movements of his right arm at school. He was sweating profusely during the episode and did not lose consciousness. He remembers having felt a chill down his spine before the episode. Following the episode, he experienced weakness in the right arm and was not able to lift it above his head for 2 hours. Three weeks ago, he had a sore throat that resolved with over-the-counter medication. He was born at term and his mother remembers him having an episode of jerky movements when he had a high-grade fever as a toddler. There is no family history of serious illness, although his father passed away in a motor vehicle accident approximately 1 year ago. His temperature is 37°C (98.6°F), pulse is 98/min, and blood pressure is 94/54 mm Hg. Physical and neurologic examinations show no abnormalities. A complete blood count and serum concentrations of glucose, electrolytes, calcium, and creatinine are within the reference range. Which of the following is the most likely diagnosis?","[""Sydenham chorea"", ""Sporadic transient tic disorder"", ""Hemiplegic migraine"", ""Focal seizure""]",step2&3,D
A 33-year-old man comes to the physician with his wife for evaluation of infertility. They have been unable to conceive for 2 years. The man reports normal libido and erectile function. He has smoked one pack of cigarettes daily for 13 years. He does not take any medications. He has a history of right-sided cryptorchidism that was surgically corrected when he was 7 years of age. Physical examination shows no abnormalities. Analysis of his semen shows a low sperm count. Laboratory studies are most likely to show which of the following?,"[""Increased placental ALP concentration"", ""Increased prolactin concentration"", ""Decreased inhibin B concentration"", ""Decreased FSH concentration""]",step1,C
"A 66-year-old woman presents to the emergency department with a throbbing headache. She states that the pain is worse when eating and is localized over the right side of her head. Review of systems is only notable for some blurry vision in the right eye which is slightly worse currently. The patient's past medical history is notable only for chronic pain in her muscles and joints for which she has been taking ibuprofen. Her temperature is 99.1°F (37.3°C), blood pressure is 144/89 mmHg, pulse is 87/min, respirations are 14/min, and oxygen saturation is 98% on room air. Physical examination is significant for tenderness to palpation over the right temporal region. Which of the following is the best initial step in management?","[""100% oxygen"", ""CT head"", ""Ibuprofen and acetaminophen"", ""Methylprednisolone""]",step2&3,D
"A 58-year-old man with history of diabetes and hypertension suffers a cardiac arrest at home. The family calls 911, yet no one performs CPR. Five minutes after the arrest, EMS arrives to begin resuscitation. At this point, which region of the CNS is most likely to suffer ischemic damage?","[""Spinal cord"", ""Pons"", ""Medulla"", ""Hippocampus""]",step1,D
"A 73-year-old man noted a rapid onset of severe dizziness and difficulty swallowing while watching TV at home. His wife reports that he had difficulty forming sentences and his gait was unsteady at this time. Symptoms were severe within 1 minute and began to improve spontaneously after 10 minutes. He has had type 2 diabetes mellitus for 25 years and has a 50 pack-year smoking history. On arrival to the emergency department 35 minutes after the initial development of symptoms, his manifestations have largely resolved with the exception of a subtle nystagmus and ataxia. His blood pressure is 132/86 mm Hg, the heart rate is 84/min, and the respiratory rate is 15/min. After 45 minutes, his symptoms are completely resolved, and neurological examination is unremarkable. Which of the following is the most likely cause of this patient’s condition?","[""Vertebral artery occlusion"", ""Middle cerebral artery occlusion"", ""Posterior cerebral artery occlusion"", ""Lenticulostriate artery occlusion""]",step2&3,A
"A 33-year-old woman comes to the physician because of a 6-month history of worsening shortness of breath and fatigue. Her paternal uncle had similar symptoms and died of respiratory failure at 45 years of age. The lungs are clear to auscultation. Pulmonary function testing shows an FVC of 84%, an FEV1/FVC ratio of 92%, and a normal diffusion capacity. An ECG shows a QRS axis greater than +90 degrees. Genetic analysis shows an inactivating mutation in the bone morphogenetic protein receptor type II (BMPR2) gene. Which of the following is the most likely cause of this patient's symptoms?","[""Chronic intravascular hemolysis"", ""Fibrosis of the pulmonary parenchyma"", ""Thickening of the interventricular septum"", ""Elevated pulmonary arterial pressure""]",step1,D
"A 43-year-old man is brought to the emergency department 25 minutes after being involved in a high-speed motor vehicle collision in which he was a restrained passenger. On arrival, he has shortness of breath and is in severe pain. His pulse is 130/min, respirations are 35/min, and blood pressure is 90/40 mm Hg. Examination shows superficial abrasions and diffuse crepitus at the left shoulder level. Cardiac examination shows tachycardia with no murmurs, rubs, or gallops. The upper part of the left chest wall moves inward during inspiration. Breath sounds are absent on the left. He is intubated and mechanically ventilated. Two large bore intravenous catheters are placed and infusion of 0.9% saline is begun. Which of the following is the most likely cause of his symptoms?","[""Phrenic nerve paralysis"", ""Cardiac tamponade"", ""Sternal fracture"", ""Flail chest""]",step2&3,D
"An investigator is studying muscle tissue in high-performance athletes. He obtains blood samples from athletes before and after a workout session consisting of short, fast sprints. Which of the following findings is most likely upon evaluation of blood obtained after the workout session?","[""Increased concentration of insulin"", ""Increased concentration of H+"", ""Decreased concentration of lactate"", ""Decreased concentration of NADH""]",step1,B
"A 20-year-old man is brought to the emergency department because of fever and lethargy for the past 2 days. He reports that during this time he has had occasional palpitations and shortness of breath. He has asthma and sickle cell disease. Current medications include inhaled albuterol, hydroxyurea, and folic acid. He appears fatigued. His temperature is 38.4°C (101.1°F), pulse is 122/min, respirations are 25/min, and blood pressure is 110/72 mm Hg. Examination shows pale conjunctivae. Cardiac examination shows a midsystolic ejection murmur. Laboratory studies show:
Hemoglobin 6.5 g/dl
Leukocyte count 5,000/mm3
Platelet count 165,000/mm3
Mean corpuscular volume 82 μm3
Reticulocyte count 0.2%
Which of the following is the most likely cause of these findings?""","[""Dysfunctional erythrocyte membrane proteins"", ""Splenic sequestration crisis"", ""Viral infection"", ""Adverse effect of medication""]",step2&3,C
"Eighteen hours after undergoing surgery for a splenic rupture and liver laceration following a high-speed motor vehicle collision, a 23-year-old man's pulse is 140/min, blood pressure is 80/50 mm Hg, and central venous pressure is 19 cm H2O. He was transfused with 6 units of packed red blood cells during surgery. Examination shows jugular venous distention. There is a midline surgical incision with no erythema or discharge. The abdomen is tense and distended. The total urine output over the past 6 hours is 90 mL. Serum studies show:
Urea nitrogen 80 mg/dL
Creatinine 3.0 mg/dL
HCO3- 29 mEq/L
Which of the following is the most appropriate next step in management?""","[""Reopen abdomen and cover with plastic"", ""Administration of intravenous antibiotics"", ""Angiographic embolization"", ""Hemicolonic resection""]",step2&3,A
"A 51-year-old African American man with a history of poorly controlled hypertension presents to the emergency room with blurry vision and dyspnea. He reports rapid-onset blurred vision and difficulty breathing 4 hours prior to presentation. He takes lisinopril, hydrochlorothiazide, and spironolactone but has a history of poor medication compliance. He has a 50 pack-year smoking history and drinks 4-6 shots of vodka per day. His temperature is 99.2°F (37.3°C), blood pressure is 195/115 mmHg, pulse is 85/min, and respirations are 20/min. On exam, he is ill-appearing and pale. He is intermittently responsive and oriented to person but not place or time. Fundoscopic examination reveals swelling of the optic disc with blurred margins. A biopsy of this patient’s kidney would most likely reveal which of the following?","[""Anuclear arteriolar thickening"", ""Calcific deposits in the arterial media without luminal narrowing"", ""Concentrically thickened arteriolar tunica media with abundant nuclei"", ""Fibrous atheromatous plaques in the arteriolar intima""]",step1,C
"A 48-year-old woman comes to the physician because of a 6-month history of excessive fatigue and a 1-month history of progressively increasing generalized pruritus. She has hypothyroidism, for which she receives thyroid replacement therapy. Physical examination shows jaundice. The liver is palpated 4 cm below the right costal margin. Serum studies show a direct bilirubin concentration of 2.9 mg/dL, alkaline phosphatase activity of 580 U/L, and increased titers of antimitochondrial antibodies and anti-thyroid peroxidase antibodies. Which of the following is the most likely cause of this patient's condition?","[""Idiopathic hepatocellular accumulation of fat"", ""Neoplasia of the ampulla of Vater"", ""Destruction of intrahepatic bile ducts"", ""Inflammation and fibrosis of the biliary tree""]",step1,C
"A 2300-g (5.07-lb) male newborn is delivered at term to a 39-year-old woman. Examination shows a sloping forehead, a flat nasal bridge, increased interocular distance, low-set ears, a protruding tongue, a single palmar crease and an increased gap between the first and second toe. There are small white and brown spots in the periphery of both irises. The abdomen is distended. An x-ray of the abdomen shows two large air-filled spaces in the upper quadrant. This patient's condition is most likely associated with which of the following cardiac anomalies?","[""Atrial septal defects"", ""Atrioventricular septal defect"", ""Tetralogy of Fallot"", ""Ventricular septal defect""]",step1,B
"Three hours after the onset of labor, a 39-year-old woman, gravida 2, para 1, at 40 weeks' gestation has sudden worsening of abdominal pain and vaginal bleeding. 18 months ago her first child was delivered by a lower segment transverse cesarean section because of cephalopelvic disproportion. Her temperature is 37.5°C (99.5°F), pulse is 120/min, respirations are 20/min, and blood pressure is 90/50 mm Hg. Examination shows abdominal tenderness and the absence of uterine contractions. The cervix is 100% effaced and 10 cm dilated; the vertex is at -3 station. An hour before, the vertex was at 0 station. Cardiotocography shows fetal bradycardia, late decelerations, and decreased amplitude of uterine contractions. Which of the following is the most specific feature of this patient's condition?","[""Loss of fetal station"", ""Hemodynamic instability"", ""Fetal distress"", ""Abdominal tenderness""]",step2&3,A
"A 25-year-old man presents to the emergency department with the sudden onset of neck pain and a severe spinning sensation for the last 6 hours. The symptoms initially began while he was lifting weights in the gym. He feels the room is spinning continuously, and he is unable to open his eyes or maintain his balance. The dizziness and pain are associated with nausea and vomiting. Past medical history is unremarkable. His blood pressure is 124/88 mm Hg, the heart rate is 84/min, the temperature is 37.0°C (98.6°F), the respiratory rate is 12/min, and the BMI is 21.6 kg/m2. On physical examination, he is awake and oriented to person, place, and time. Higher mental functions are intact. There are several horizontal beats of involuntary oscillatory eye movements on the left lateral gaze. He has difficulty performing repetitive pronation and supination movements on the left side. Electrocardiogram reveals normal sinus rhythm. Which of the following additional clinical features would you expect to be present?","[""Expressive aphasia"", ""Hemiplegia"", ""Past-pointing"", ""Sensory aphasia""]",step2&3,C
"A 61-year-old female presents to her primary care physician complaining of fatigue and feeling sad. She reports that ever since her husband passed away 3 months ago, she has noticed a decrease in her energy level and reports frequently awaking at 2 in the morning and cannot fall back asleep. She sometimes wakes up and hears her husband's voice, constantly thinks about how much she misses him, and has recently thought about ways to kill herself including driving through a red light. She used to be an active member of her neighborhood’s bridge club but has stopped playing. She has lost 15 pounds and rarely feels hungry. Which of the following is the most likely diagnosis in this patient?","[""Bipolar II disorder"", ""Major depressive disorder"", ""Acute grief"", ""Persistent depressive disorder""]",step1,B
"A 28-year-old primigravid woman at 36 weeks' gestation comes to the emergency department because of worsening pelvic pain for 2 hours. Three days ago, she had a burning sensation with urination that resolved spontaneously. She has nausea and has vomited fluid twice on her way to the hospital. She appears ill. Her temperature is 39.7°C (103.5°F), pulse is 125/min, respirations are 33/min, and blood pressure is 130/70 mm Hg. Abdominal examination shows diffuse tenderness. No contractions are felt. Speculum examination shows pooling of nonbloody, malodorous fluid in the vaginal vault. The cervix is not effaced or dilated. Laboratory studies show a hemoglobin concentration of 14 g/dL, a leukocyte count of 16,000/mm3, and a platelet count of 250,000/mm3. Fetal heart rate is 148/min and reactive with no decelerations. Which of the following is the most appropriate next step in management?","[""Administer intravenous ampicillin and gentamicin and perform C-section"", ""Expectant management"", ""Administer intravenous ampicillin and gentamicin and induce labor"", ""Perform C-section""]",step2&3,C
"A 55-year-old male bodybuilder presents to the emergency department with weakness of his right arm. The patient states he has experienced these symptoms for a few weeks; however, today his hand felt so weak he dropped his cup of tea. The patient has a past medical history of diabetes. He drinks 2-7 alcoholic drinks per day and has smoked 2 packs of cigarettes per day since he was 25. The patient admits to using anabolic steroids. He has lost 17 pounds since he last came to the emergency department 1 month ago. His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam reveals decreased sensation in the right arm and 2/5 strength in the right arm and 5/5 strength in in the left arm. The patient states that he is experiencing a dull aching and burning pain in his right arm during the exam. Which of the following is the most likely diagnosis?","[""Apical lung tumor"", ""Cerebral infarction"", ""Scalenus anticus syndrome"", ""Subclavian steal syndrome""]",step2&3,A
"A 38-year-old man comes to the clinic complaining of recurrent abdominal pain for the past 2 months. He reports a gnawing, dull pain at the epigastric region that improves with oral ingestion. He has been taking calcium carbonate for the past few weeks; he claims that “it used to help a lot but it’s losing its effects now.” Laboratory testing demonstrated increased gastrin levels after the administration of secretin. A push endoscopy visualized several ulcers at the duodenum and proximal jejunum. What characteristics distinguish the jejunum from the duodenum?","[""Lack of goblet cells"", ""Lack of submucosal Brunner glands"", ""Peyer patches"", ""Pilcae circulares""]",step1,B
"A 29-year-old female presents to her gynecologist complaining of a painful rash around her genitals. She has multiple sexual partners and uses condoms intermittently. Her last STD screen one year ago was negative. On examination, she has bilateral erosive vesicles on her labia majora and painful inguinal lymphadenopathy. She is started on an oral medication that requires a specific thymidine kinase for activation. Which of the following adverse effects is associated with this drug?","[""Gingival hyperplasia"", ""Pulmonary fibrosis"", ""Renal failure"", ""Photosensitivity""]",step1,C
"A 45-year-old man with a 15-pack-year smoking history is referred for pulmonary function testing. On physical exam, he appears barrel-chested and mildly overweight, but breathes normally. Which of the following tests will most accurately measure his total lung capacity?","[""Open-circuit nitrogen washout"", ""Body plethysmography"", ""Closed-circuit helium dilution"", ""Exhaled nitric oxide""]",step1,B
"A 47-year-old man is brought to the emergency department 1 hour after injuring his genital area when he fell astride his backyard fence. He was trimming a tree from the fence when he lost his balance. His vital signs are within normal limits. Examination shows blood at the urethral meatus, perineal ecchymoses, and a scrotal hematoma. An x-ray of the pelvis shows swelling of the soft tissue but no other abnormalities. Which part of the urinary tract is most likely damaged in this patient?","[""Anterior bladder wall"", ""Bulbous urethra"", ""Membranous urethra"", ""Prostatic urethra""]",step1,B
"An 8-year-old girl is brought to the clinic by her parents for fever and easy bruising. Her parents report that the child has been bruising easily ever since an upper respiratory infection 3 months ago. For example, a bump into the table resulted in a large bruise on the side of her hip for a week. Three days ago, her mother noticed that the child felt warm and subsequently measured a temperature of 101.8°F (38.8°C) that did not respond to acetaminophen. The patient denies any chills, cough, rhinorrhea, pharyngitis, sick contacts, headache, or urinary symptoms. A physical examination demonstrates a nontender, firm, and rubbery node along her left neck and splenomegaly. Laboratory findings are shown below:

Leukocyte count and differential:
Leukocyte count:  19,000/mm^3
Neutrophils: 39%
Bands: 12% 
Eosinophils: 2%
Basophils: 0.5%
Lymphocytes: 40%
Monocytes: 6.5%
Hemoglobin: 9.7 g/dL
Platelet count:  100,000/mm^3
Mean corpuscular hemoglobin concentration: 30%
Mean corpuscular volume: 76 µm^3
Reticulocyte count: 0.7%

What findings would you expect in this patient?","[""Low leukocyte alkaline phosphatase levels"", ""Smudge cells on peripheral blood smear"", ""Tartrate-resistant acid phosphatase positivity"", ""Translocation of chromosomes 12 and 21""]",step1,D
"A healthy 20-year-old African American man presents to the clinic for pre-participation sports physical for college football. He has no health complaints at this time. He has no recent history of illness or injury. He denies chest pain and palpitations. He reports no prior syncopal episodes. He had surgery 2 years ago for appendicitis. His mother is healthy and has an insignificant family history. His father had a myocardial infarction at the age of 53, and his paternal uncle died suddenly at the age of 35 for unknown reasons. His temperature is 37.1°C (98.8°F), the heart rate is 78/min, the blood pressure is 110/66 mm Hg, and the respiratory rate is 16/min. He has a tall, proportional body. There are no chest wall abnormalities. Lungs are clear to auscultation. His pulse is 2+ and regular in bilateral upper and lower extremities. His PMI is nondisplaced. Auscultation of his heart in the 5th intercostal space at the left midclavicular line reveals the following sound. Which of the following is the most likely outcome of this patient’s cardiac findings?","[""Asymptomatic"", ""Infective endocarditis"", ""Atrial fibrillation"", ""Sudden cardiac death""]",step2&3,A
"A 76-year-old man presents to his physician with his daughter for evaluation of memory loss and disorientation that has become progressively worse over the last few years. The patient’s daughter states that the memory loss started with her father forgetting things ''here and there'' and the memory loss has progressed to the patient forgetting the names of loved ones and getting lost in familiar places. The medical history is non-contributory. On examination, the patient is awake and alert but only oriented to self (not time or place). The cardiopulmonary and neurologic exams are within normal limits. Routine lab work is performed to rule out infection and is found to be within normal limits. Four years later the patient passes away and an autopsy is performed to confirm the presumptive diagnosis. Brain biopsy slides are shown. What histologic features confirm this patient’s diagnosis?","[""A\u03b2 amyloid neuritic plaques"", ""Ubiquitinated TDP-43"", ""Beta-pleated sheet proteins resistant to proteases"", ""Viral inclusions within oligodendrocytes""]",step1,A
"A 25-year-old woman presented to an urgent care center with a complaint of a cough for more than 3 weeks that was accompanied by night sweats, weight loss, and malaise. On physical examination, the patient had slightly pale palpebral conjunctivae bilateral posterior cervical lymphadenopathy, but with no adventitious breath sounds in the lung fields bilaterally. The remainder of the physical examination was routine. The patient was started on a drug regimen that was to be taken for 6 months. On follow-up after 2 months, the ALT and AST levels were elevated. Which of the following anti-tubercular drug could have contributed to this labor result?","[""Pyrazinamide"", ""Isoniazid"", ""Streptomycin"", ""Ethambutol""]",step1,A
"A 68-year-old woman comes to the physician with dysphagia and halitosis for several months. She feels food sticking to her throat immediately after swallowing. Occasionally, she regurgitates undigested food hours after eating. She has no history of any serious illness and takes no medications. Her vital signs are within normal limits. Physical examination including the oral cavity, throat, and neck shows no abnormalities. Which of the following is the most appropriate diagnostic study at this time?","[""Barium swallow with video fluoroscopy"", ""Cervical magnetic resonance imaging"", ""Chest X-ray"", ""Upper gastrointestinal series""]",step2&3,A
"A 67-year-old man is brought to the emergency department with severe, crushing, retrosternal chest pain for the last 45 minutes. The pain radiates to his left shoulder and is associated with sweating. The past medical history is significant for hypercholesterolemia, for which he takes lovastatin. He smoked as a youth but quit at 40 years of age. On arrival at the emergency department, the vital signs were as follows: pulse 58/min, respiratory rate 22/min, and blood pressure 90/56 mm Hg. He is sweating profusely. The jugular venous pulse is visible 2.5 cm above the sternal angle. Auscultation reveals soft S1 and S2 heart sounds with an added S4 and bilateral inspiratory crackles at the lung bases. The electrocardiogram shows ST-elevations in leads V1 and V2. A diagnosis of an anteroseptal infarction is made. The patient was given aspirin on the way to the hospital. He is started on dopamine, morphine, nitroglycerin, and streptokinase. Which of the following would be the most concerning development over the next 24h this patient?","[""Hemoptysis"", ""Easy fatigability"", ""Persistent ST-segment elevation"", ""Shortness of breath""]",step1,A
A section from the thymus of a patient with myasthenia gravis is examined (see image). The function of the portion of the thymus designated by the arrow plays what role in the pathophysiology of this disease?,"[""Failure to bind MHC class II molecules"", ""Premature involution of the thymus"", ""Failure of afferent lymph vessels to form"", ""Failure of apoptosis of negatively selected T cells""]",step1,D
"A 5-year-old boy is brought to the physician because of a nonpruritic rash on his face that began 5 days ago. It started as a bug bite on his chin that then developed into small pustules with surrounding redness. He has not yet received any routine childhood vaccinations. Physical examination shows small, clustered lesions with gold crusts along the lower lip and chin and submandibular lymphadenopathy. At a follow-up examination 2 weeks later, his serum anti-deoxyribonuclease B antibody titer is elevated. This patient is at greatest risk for which of the following complications?","[""Reactive arthritis"", ""Shingles"", ""Glomerulonephritis"", ""Myocarditis""]",step1,C
"A 32-year-old man comes to the physician because of a progressive development of tender breast tissue over the past 18 months. He used to ride his bicycle for exercise 4 times a week but stopped after he had an accident and injured his left testicle 3 months ago. He has gained 5 kg (11 lb) during this period. For the last 10 years, he drinks one to two beers daily and sometimes more on weekends. He occasionally takes pantoprazole for heartburn. He is 171 cm (5 ft 7 in) tall and weighs 87 kg (192 lb); BMI is 30 kg/m2. Vital signs are within normal limits. Examination shows bilaterally symmetrical, mildly tender gynecomastia. A nontender 1.5-cm mass is palpated in the left testis; transillumination test is negative. The remainder of the examination shows no abnormalities. Which of the following is the most likely underlying cause of these findings?","[""Leydig cell tumor"", ""Obesity"", ""Klinefelter syndrome"", ""Trauma to testis""]",step2&3,A
"A 56-year-old woman comes to the emergency department because of worsening pain and swelling in her right knee for 3 days. She underwent a total knee arthroplasty of her right knee joint 5 months ago. The procedure and immediate aftermath were uneventful. She has hypertension and osteoarthritis. Current medications include glucosamine, amlodipine, and meloxicam. Her temperature is 37.9°C (100.2°F), pulse is 95/min, and blood pressure is 115/70 mm Hg. Examination shows a tender, swollen right knee joint; range of motion is limited by pain. The remainder of the examination shows no abnormalities. Arthrocentesis of the right knee is performed. Analysis of the synovial fluid shows:
Appearance Cloudy
Viscosity Absent
WBC count 78,000/mm3
Segmented neutrophils 94%
Lymphocytes 6%
Synovial fluid is sent for culture and antibiotic sensitivity. Which of the following is the most likely causal pathogen?""","[""Pseudomonas aeruginosa"", ""Staphylococcus epidermidis"", ""Staphylococcus aureus"", ""Streptococcus agalactiae""]",step2&3,B
A 45-year-old woman with β-thalassemia major comes to the physician with a 1-week history of fatigue. She receives approximately 8 blood transfusions per year; her last transfusion was 1 month ago. Examination shows conjunctival pallor. Her hemoglobin level is 6.5 mg/dL. Microscopic evaluation of a liver biopsy specimen in this patient would most likely show which of the following?,"[""Macrophages with yellow-brown, lipid-containing granules"", ""Macrophages with cytoplasmic granules that stain golden-yellow with hematoxylin"", ""Extracellular deposition of pink-staining proteins"", ""Cytoplasmic brown-pigmented granules that stain positive for S-100""]",step1,B
"A clinical trial is being run with patients that have a genetic condition characterized by abnormal hemoglobin that can undergo polymerization when exposed to hypoxia, acidosis, or dehydration. This process of polymerization is responsible for the distortion of the red blood cell (RBC) that acquires a crescent shape and the hemolysis of RBCs. Researchers are studying the mechanisms of the complications commonly observed in these patients such as stroke, aplastic crisis, and auto-splenectomy. What kind of mutation leads to the development of the disease?","[""Missense mutation"", ""Splice site"", ""Frameshift mutation"", ""Silent mutation""]",step1,A
